('com.redhat', 38.56135150785293)
('com.google.security.zynamics', 29.97695036795964)
('com.google.security', 29.97695036795964)
('org.ovirt.engine.core', 24.92100833466305)
('org.elasticsearch.common', 18.273188893801326)
('org.codehaus', 32.08398664031828)
('org.opendaylight', 31.77320839860825)
('co.cask', 29.00771690593839)
('com.google.gson', 15.39757685187748)
('org.pentaho.di', 33.930614351832666)
('com.pivotal.gemfirexd.internal', 36.00544273382901)
('io.netty', 8.676066952049155)
('com.google.inject', 14.13130770809802)
('org.joda', 5.460195649871626)
('org.eclipse.che', 27.532755172368336)
('org.apache.log4j', 8.620789735922626)
('org.apache.hadoop.hbase', 31.12989342191659)
('org.chromium', 43.07784284931716)
('com.caucho', 24.51085682859041)
('android.support.v4', 12.57483980529636)
('ims.core', 47.192642694066706)
('net.sf', 34.53743336668923)
('com.google.gerrit', 29.813504219305905)
('org.olat.core', 18.64631054326932)
('com.android', 42.96287390946236)
('gnu', 44.669700582499175)
('com.evolveum', 32.69832584952867)
('org.apache.wicket', 10.71933985094984)
('org.zstack', 23.894298463986498)
('com.evolveum.midpoint', 32.48634930743412)
('ca', 27.652083415286157)
('org.apache.hadoop.fs', 8.475929599543623)
('sun', 41.53723951265372)
('co.cask.cdap', 26.23154377535253)
('java.awt.image', 12.409817788478831)
('lombok', 13.805169721535695)
('apple', 8.46410585540366)
('com.vaadin', 29.14622340297803)
('lucee', 29.870039363521045)
('org.apache.jackrabbit', 34.61605797062298)
('com.constellio', 28.427086121828125)
('org.apache.commons.lang3', 22.49870630636535)
('net.sourceforge', 31.754336168874637)
('cz', 34.5748100196817)
('org.spongycastle', 25.41004229212957)
('com.netflix', 30.943737984230594)
('com.amazonaws.services', 13.585530956702256)
('org.joda.time', 5.246000750909229)
('fr', 45.086377658435914)
('org.ovirt.engine.core.common', 8.311304391851264)
('org.apache.maven', 24.633168473777427)
('android.support.v7', 5.2402484591361995)
('com.oracle', 28.25513585583351)
('hudson', 33.63092494916138)
('org.opencms', 22.610294375911852)
('org.onosproject', 35.794832596046724)
('org.jfree', 27.619690370850495)
('org.sakaiproject', 36.087933991039684)
('ims.core.vo', 43.722500115904246)
('org.wso2', 30.41344979266863)
('rx', 22.8872609057146)
('com.linkedin', 37.85717708722652)
('org.apache.hyracks', 15.623184385394286)
('com.cloudera', 39.52691799206369)
('org.apache.pig', 26.42217414558379)
('org.bouncycastle.asn1', 13.397054484561286)
('org.apache.commons.io', 12.03109437563669)
('com.redhat.ceylon', 35.394056780280415)
('org.apache.activemq', 22.71012463708124)
('com.microsoft', 17.87841146350422)
('ch', 29.59971129082575)
('com.opengamma', 26.901625769242674)
('org.camunda', 19.10609257100564)
('com.gemstone.gemfire.internal', 34.1182119852235)
